plot_id,treatment,time,sub_soil,sub_rock,sub_litter,sub_wood,sub_ash,sub_feces,cover_tree_l,cover_shrub_l,cover_shrub_d,cover_native_herb,cover_exotic_herb,cover_total_herb,rich_tree_l,rich_tree_d,rich_shrub_l,rich_shrub_d,rich_native_herb,rich_exotic_herb,rich_total_herb
2,goats,pregoat,17,24,53,6,0,0,0,33,1,21,7,25,0,0,3,1,9,1,10
3,goats,pregoat,28,0,55,7,0,0,24,39,9,10,53,58,1,0,7,4,4,4,8
4,goats,pregoat,7,0,91,2,0,0,58,24,4,13,72,75,1,0,2,1,4,6,10
5,goats,pregoat,16,0,67,17,0,0,0,35,17,12,29,41,0,0,7,5,11,3,14
6,goats,pregoat,21,38,37,4,0,0,2,18,1,6,28,32,1,0,4,1,3,4,7
7,goats,pregoat,55,0,30,15,0,0,0,22,2,46,0,46,0,0,3,1,4,0,4
8,goats,pregoat,42,6,46,6,0,0,0,23,0,5,24,29,0,0,4,0,3,1,4
9,goats,pregoat,24,32,33,11,0,0,0,24,8,12,19,29,0,0,6,1,5,1,6
10,goats,pregoat,46,0,43,11,0,0,0,29,1,21,7,27,0,0,2,1,2,3,5
11,goats,pregoat,11,0,87,2,0,0,15,3,0,25,40,54,1,0,1,0,6,5,11
12,goats,pregoat,57,2,35,5,0,0,0,20,1,22,18,32,0,0,6,1,6,4,10
13,goats,pregoat,56,0,33,11,0,0,0,19,0,28,0,28,0,0,2,0,5,0,5
14,goats,pregoat,49,0,40,11,0,0,0,18,1,16,0,16,0,0,3,1,6,0,6
15,goats,pregoat,32,0,58,5,0,0,1,23,6,24,21,42,1,0,2,1,4,5,9
16,goats,pregoat,12,12,74,2,0,0,40,27,4,18,45,62,1,0,5,3,3,4,7
17,goats,pregoat,24,9,54,13,0,0,0,32,6,7,41,45,0,0,6,3,1,3,4
19,contol,pregoat,1,0,93,6,0,0,17,71,22,0,0,0,1,0,5,3,0,0,0
20,contol,pregoat,23,0,48,29,0,0,0,58,24,1,6,7,0,0,5,3,1,3,4
21,contol,pregoat,7,1,85,7,0,0,0,79,41,8,0,8,0,0,7,6,2,0,2
22,contol,pregoat,30,11,56,3,0,0,0,60,41,0,0,0,0,0,2,3,0,0,0
23,contol,pregoat,46,0,42,12,0,0,0,50,61,1,0,1,0,0,3,3,1,0,1
24,contol,pregoat,33,0,41,26,0,0,0,49,39,1,0,1,0,0,3,3,1,0,1
25,contol,pregoat,19,0,79,2,0,0,18,38,34,3,0,3,1,0,4,4,2,0,2
26,contol,pregoat,12,0,87,1,0,0,50,30,30,3,2,5,1,0,4,7,2,1,3
2,goats,postgoat,5,23,59,13,0,0,3,31,0,6,4,9,1,1,2,0,3,1,4
3,goats,postgoat,16,0,63,13,0,8,25,16,4,2,5,7,1,0,4,2,1,2,3
4,goats,postgoat,27,0,66,5,0,2,64,16,6,0,6,6,1,1,2,2,0,2,2
5,goats,postgoat,16,0,70,14,0,0,0,41,8,0,7,7,0,0,5,5,0,1,1
6,goats,postgoat,15,42,37,6,0,0,1,14,0,0,0,0,1,0,2,0,0,0,0
7,goats,postgoat,25,0,55,19,0,1,0,24,4,3,0,3,0,0,2,1,2,0,2
8,goats,postgoat,23,4,64,6,0,3,0,12,7,0,2,2,0,0,3,4,0,1,1
9,goats,postgoat,29,35,32,2,0,2,0,14,8,1,0,1,0,0,4,2,1,0,1
10,goats,postgoat,36,0,59,4,0,1,0,35,4,3,0,3,0,0,2,1,2,0,2
11,goats,postgoat,11,0,83,4,0,2,22,2,0,16,5,19,1,0,1,0,3,1,4
12,goats,postgoat,48,0,39,7,0,6,0,18,11,1,0,1,0,0,5,3,1,0,1
13,goats,postgoat,42,0,51,7,0,0,0,16,0,5,0,5,0,0,2,0,2,0,2
14,goats,postgoat,27,0,61,12,0,0,0,18,6,1,0,1,0,0,3,3,1,0,1
15,goats,postgoat,28,0,55,14,0,3,0,27,11,0,11,11,0,1,2,1,0,1,1
16,goats,postgoat,13,6,70,3,0,8,39,27,2,0,9,9,1,1,4,1,0,1,1
17,goats,postgoat,25,11,53,7,0,4,0,29,3,0,2,2,0,0,5,1,0,1,1
19,contol,postgoat,0,0,85,15,0,0,15,60,31,0,0,0,1,0,5,5,0,0,0
20,contol,postgoat,11,0,60,29,0,0,0,51,19,1,4,5,0,0,3,7,1,1,2
21,contol,postgoat,6,0,89,5,0,0,12,62,47,7,0,7,1,1,4,6,3,0,3
22,contol,postgoat,7,9,69,15,0,0,0,59,30,0,0,0,0,0,2,3,0,0,0
23,contol,postgoat,10,0,67,23,0,0,0,63,29,3,0,3,0,0,3,4,1,0,1
24,contol,postgoat,29,0,67,4,0,0,8,45,25,0,0,0,1,1,2,3,0,0,0
25,contol,postgoat,15,0,83,2,0,0,19,44,30,1,0,1,1,0,4,5,1,0,1
26,contol,postgoat,6,1,79,14,0,0,47,32,27,1,3,4,1,1,4,7,1,1,2
